Experiment,Class_ID,Class,Train Sample Count,Is Minority,Per-class Recall,Per-class F1
ce_baseline,29,Tomato___Early_blight,160,False,0.26666666666666666,0.41025641025641024
ce_baseline,30,Tomato___Late_blight,305,False,0.45614035087719296,0.5531914893617021
ce_baseline,31,Tomato___Leaf_Mold,152,True,0.7857142857142857,0.7719298245614035
ce_baseline,32,Tomato___Septoria_leaf_spot,283,False,0.6226415094339622,0.66
ce_baseline,33,Tomato___Spider_mites Two-spotted_spider_mite,268,False,0.8,0.8080808080808081
ce_baseline,34,Tomato___Target_Spot,224,False,0.5714285714285714,0.6857142857142857
ce_baseline,35,Tomato___Tomato_Yellow_Leaf_Curl_Virus,857,False,0.98125,0.9691358024691358
ce_baseline,36,Tomato___Tomato_mosaic_virus,134,True,0.9090909090909091,0.5405405405405406
ce_baseline,37,Tomato___healthy,254,False,1.0,0.9791666666666666
weighted_ce,0,Apple___Apple_scab,100,True,0.4444444444444444,0.3333333333333333
weighted_ce,1,Apple___Black_rot,223,False,0.5,0.5
weighted_ce,2,Apple___Cedar_apple_rust,99,True,0.625,0.5882352941176471
weighted_ce,3,Apple___healthy,263,False,0.5306122448979592,0.5909090909090909
weighted_ce,4,Blueberry___healthy,240,False,0.9111111111111111,0.8631578947368421
weighted_ce,5,Cherry_(including_sour)___Powdery_mildew,168,False,0.7096774193548387,0.7586206896551724
weighted_ce,6,Cherry_(including_sour)___healthy,136,True,0.84,0.7636363636363637
weighted_ce,7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,184,False,0.7333333333333333,0.7333333333333333
weighted_ce,8,Corn_(maize)___Common_rust_,190,False,1.0,0.9863013698630136
weighted_ce,9,Corn_(maize)___Northern_Leaf_Blight,157,True,0.7931034482758621,0.8214285714285714
weighted_ce,10,Corn_(maize)___healthy,186,False,0.9705882352941176,0.9850746268656716
weighted_ce,11,Grape___Black_rot,188,False,0.45714285714285713,0.5423728813559322
weighted_ce,12,Grape___Esca_(Black_Measles),221,False,0.926829268292683,0.8085106382978723
weighted_ce,13,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),172,False,0.84375,0.8709677419354839
weighted_ce,14,Grape___healthy,152,True,0.9166666666666666,0.7333333333333333
weighted_ce,15,Orange___Haunglongbing_(Citrus_greening),881,False,0.9636363636363636,0.9695121951219512
weighted_ce,16,Peach___Bacterial_spot,367,False,0.5652173913043478,0.6341463414634146
weighted_ce,17,Peach___healthy,129,True,1.0,0.4
weighted_ce,18,"Pepper,_bell___Bacterial_spot",159,False,0.6551724137931034,0.5671641791044776
weighted_ce,19,"Pepper,_bell___healthy",236,False,0.8409090909090909,0.8222222222222222
weighted_ce,20,Potato___Early_blight,160,False,0.9666666666666667,0.8285714285714286
weighted_ce,21,Potato___Late_blight,160,False,0.4,0.5
weighted_ce,22,Potato___healthy,54,True,1.0,0.37209302325581395
weighted_ce,23,Raspberry___healthy,133,True,0.9090909090909091,0.9090909090909091
