Experiment,Class_ID,Class,Train Sample Count,Test Sample Count,Is Minority,Precision,Recall,F1-score
baseline,27,Strawberry___healthy,164,13,False,0.5909090909090909,1.0,0.7428571428571429
baseline,28,Tomato___Bacterial_spot,340,63,False,0.8307692307692308,0.8571428571428571,0.84375
baseline,29,Tomato___Early_blight,160,30,False,0.5434782608695652,0.8333333333333334,0.6578947368421053
baseline,30,Tomato___Late_blight,305,57,False,0.8285714285714286,0.5087719298245614,0.6304347826086957
baseline,31,Tomato___Leaf_Mold,152,28,True,0.8181818181818182,0.6428571428571429,0.72
baseline,32,Tomato___Septoria_leaf_spot,283,53,False,0.6271186440677966,0.6981132075471698,0.6607142857142857
baseline,33,Tomato___Spider_mites Two-spotted_spider_mite,268,50,False,0.7543859649122807,0.86,0.8037383177570093
baseline,34,Tomato___Target_Spot,224,42,False,0.7608695652173914,0.8333333333333334,0.7954545454545454
baseline,35,Tomato___Tomato_Yellow_Leaf_Curl_Virus,857,160,False,0.9053254437869822,0.95625,0.9300911854103343
baseline,36,Tomato___Tomato_mosaic_virus,134,11,True,0.6666666666666666,0.7272727272727273,0.6956521739130435
baseline,37,Tomato___healthy,254,47,False,0.9791666666666666,1.0,0.9894736842105263
weighted_sampler,0,Apple___Apple_scab,100,18,True,0.42857142857142855,0.8333333333333334,0.5660377358490566
weighted_sampler,1,Apple___Black_rot,223,18,False,0.9375,0.8333333333333334,0.8823529411764706
weighted_sampler,2,Apple___Cedar_apple_rust,99,8,True,0.47058823529411764,1.0,0.64
weighted_sampler,3,Apple___healthy,263,49,False,0.6612903225806451,0.8367346938775511,0.7387387387387387
weighted_sampler,4,Blueberry___healthy,240,45,False,0.8148148148148148,0.9777777777777777,0.8888888888888888
weighted_sampler,5,Cherry_(including_sour)___Powdery_mildew,168,31,False,0.7317073170731707,0.967741935483871,0.8333333333333334
weighted_sampler,6,Cherry_(including_sour)___healthy,136,25,True,0.9230769230769231,0.96,0.9411764705882353
weighted_sampler,7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,184,15,False,0.8461538461538461,0.7333333333333333,0.7857142857142857
weighted_sampler,8,Corn_(maize)___Common_rust_,190,36,False,1.0,0.9722222222222222,0.9859154929577465
weighted_sampler,9,Corn_(maize)___Northern_Leaf_Blight,157,29,True,0.7647058823529411,0.896551724137931,0.8253968253968254
weighted_sampler,10,Corn_(maize)___healthy,186,34,False,0.918918918918919,1.0,0.9577464788732394
weighted_sampler,11,Grape___Black_rot,188,35,False,0.8518518518518519,0.6571428571428571,0.7419354838709677
weighted_sampler,12,Grape___Esca_(Black_Measles),221,41,False,0.8604651162790697,0.9024390243902439,0.8809523809523809
weighted_sampler,13,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),172,32,False,0.9032258064516129,0.875,0.8888888888888888
weighted_sampler,14,Grape___healthy,152,12,True,0.5,0.9166666666666666,0.6470588235294118
weighted_sampler,15,Orange___Haunglongbing_(Citrus_greening),881,165,False,0.9580838323353293,0.9696969696969697,0.963855421686747
weighted_sampler,16,Peach___Bacterial_spot,367,69,False,0.7586206896551724,0.6376811594202898,0.6929133858267716
weighted_sampler,17,Peach___healthy,129,10,True,0.7692307692307693,1.0,0.8695652173913043
weighted_sampler,18,"Pepper,_bell___Bacterial_spot",159,29,False,0.782608695652174,0.6206896551724138,0.6923076923076923
weighted_sampler,19,"Pepper,_bell___healthy",236,44,False,0.8297872340425532,0.8863636363636364,0.8571428571428571
weighted_sampler,20,Potato___Early_blight,160,30,False,0.8064516129032258,0.8333333333333334,0.819672131147541
weighted_sampler,21,Potato___Late_blight,160,30,False,0.75,0.8,0.7741935483870968
weighted_sampler,22,Potato___healthy,54,8,True,0.7,0.875,0.7777777777777778
weighted_sampler,23,Raspberry___healthy,133,11,True,0.8888888888888888,0.7272727272727273,0.8
weighted_sampler,24,Soybean___healthy,814,152,False,0.9682539682539683,0.8026315789473685,0.8776978417266187
weighted_sampler,25,Squash___Powdery_mildew,293,55,False,0.9152542372881356,0.9818181818181818,0.9473684210526315
weighted_sampler,26,Strawberry___Leaf_scorch,177,33,False,1.0,0.9090909090909091,0.9523809523809523
weighted_sampler,27,Strawberry___healthy,164,13,False,0.65,1.0,0.7878787878787878
weighted_sampler,28,Tomato___Bacterial_spot,340,63,False,0.7936507936507936,0.7936507936507936,0.7936507936507936
weighted_sampler,29,Tomato___Early_blight,160,30,False,0.7307692307692307,0.6333333333333333,0.6785714285714286
weighted_sampler,30,Tomato___Late_blight,305,57,False,0.6545454545454545,0.631578947368421,0.6428571428571429
weighted_sampler,31,Tomato___Leaf_Mold,152,28,True,0.6216216216216216,0.8214285714285714,0.7076923076923077
weighted_sampler,32,Tomato___Septoria_leaf_spot,283,53,False,0.9565217391304348,0.41509433962264153,0.5789473684210527
weighted_sampler,33,Tomato___Spider_mites Two-spotted_spider_mite,268,50,False,0.676056338028169,0.96,0.7933884297520661
weighted_sampler,34,Tomato___Target_Spot,224,42,False,0.96,0.5714285714285714,0.7164179104477612
weighted_sampler,35,Tomato___Tomato_Yellow_Leaf_Curl_Virus,857,160,False,0.9850746268656716,0.825,0.8979591836734694
weighted_sampler,36,Tomato___Tomato_mosaic_virus,134,11,True,0.75,0.8181818181818182,0.782608695652174
weighted_sampler,37,Tomato___healthy,254,47,False,0.8703703703703703,1.0,0.9306930693069307
sampler_light_aug,0,Apple___Apple_scab,100,18,True,0.5,0.6111111111111112,0.55
sampler_light_aug,1,Apple___Black_rot,223,18,False,0.8181818181818182,1.0,0.9
